2018-04-26 12:17:17,434 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 12:17:17,772 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 12:17:17,776 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 12:17:17,790 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 15:21:06,725 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MqttClient:MqttClient:0.0.1-SNAPSHOT @ C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\pom.xml.
2018-04-26 15:21:06,951 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:21:06,963 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 15:21:06,965 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:21:06,977 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 15:21:51,857 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6859794556618863839.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_879154263866854647.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-wtp.xml
